,1 bit gate,2 bit gate,,,pieces,,,,,,,,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,B,B,B,B,B,B,B,B,,
,,,,6,W,B,W,W,W,W,-,W,,
,,,,7,B,B,B,B,-,-,-,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
135,4,X/H/Y/Z/CNOT/SWAP,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,B,B,B,B,W,B,B,B,,
,,,,4,W,W,W,W,B,B,W,W,,
,,,,5,B,B,B,B,B,W,B,B,,
,,,,6,B,B,B,B,B,W,B,B,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
136,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,W,+,W,W,W,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,B,B,B,B,W,W,B,B,,
,,,,6,W,W,W,W,-,-,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
137,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,+,+,W,W,,
,,,,4,W,W,W,B,-,+,W,W,,
,,,,5,+,+,+,-,-,-,+,+,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
138,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,W,B,B,B,W,W,,
,,,,4,+,+,+,-,-,+,+,+,,
,,,,5,W,W,W,W,B,W,W,W,,
,,,,6,W,W,W,W,B,W,W,W,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
139,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,-,+,W,W,,
,,,,5,W,W,W,W,-,+,W,W,,
,,,,6,+,+,+,+,+,+,+,+,,
,,,,7,W,W,W,W,B,B,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
140,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,W,W,W,B,B,W,,
,,,,6,B,B,B,B,W,B,B,B,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
141,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,W,W,-,+,B,W,,
,,,,6,B,B,B,B,-,+,W,B,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
142,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,B,W,W,W,,
,,,,2,W,W,B,W,B,W,W,W,,
,,,,3,W,W,B,W,B,W,W,W,,
,,,,4,+,+,+,W,B,+,+,+,,
,,,,5,W,W,B,+,-,W,W,W,,
,,,,6,W,W,B,W,B,W,W,W,,
,,,,7,W,W,B,W,B,W,W,W,,
,,,,8,W,W,B,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
143,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,+,+,+,+,+,B,+,+,,
,,,,4,W,W,W,W,W,+,B,W,,
,,,,5,W,W,W,W,W,+,W,W,,
,,,,6,W,W,W,W,W,-,W,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
144,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,B,B,-,W,W,B,B,B,,
,,,,6,W,W,+,B,B,W,W,W,,
,,,,7,W,W,+,+,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
145,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,+,+,B,W,W,W,,
,,,,6,W,W,+,-,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
146,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,B,W,W,,
,,,,2,W,W,W,+,W,B,W,W,,
,,,,3,W,W,W,+,W,B,W,W,,
,,,,4,W,W,W,+,W,B,W,W,,
,,,,5,+,+,W,+,+,+,+,+,,
,,,,6,W,W,W,+,W,B,W,W,,
,,,,7,W,W,W,+,W,B,W,W,,
,,,,8,W,W,W,+,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
147,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,+,+,W,W,W,,
,,,,5,W,W,W,W,+,W,W,W,,
,,,,6,+,+,+,+,+,+,+,+,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
148,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,B,B,W,W,W,W,,
,,,,5,W,W,B,-,-,W,W,W,,
,,,,6,W,W,W,-,+,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
149,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,+,+,-,B,B,+,+,+,,
,,,,6,W,W,B,-,+,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
150,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,-,W,W,,
,,,,5,W,W,W,W,+,+,W,W,,
,,,,6,W,W,W,W,W,W,+,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
151,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,B,+,-,W,,
,,,,6,W,W,W,W,B,+,-,W,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
152,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,-,+,W,W,W,W,,
,,,,4,B,B,-,B,-,B,B,B,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
153,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,B,B,B,W,B,+,W,B,,
,,,,4,W,W,W,W,W,-,B,W,,
,,,,5,W,W,W,W,W,+,W,W,,
,,,,6,W,W,W,W,W,+,W,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
154,4,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,B,W,W,W,B,W,,
,,,,5,W,W,B,W,W,W,W,W,,
,,,,6,W,W,B,W,W,W,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
155,4,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,B,W,W,W,W,W,,
,,,,5,+,+,B,W,+,+,+,+,,
,,,,6,W,W,+,W,W,W,W,W,,
,,,,7,W,W,B,+,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
156,4,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,+,+,W,W,W,,
,,,,4,W,W,W,+,+,W,W,W,,
,,,,5,+,+,W,W,W,+,+,+,,
,,,,6,W,W,W,W,+,W,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
157,4,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,-,B,B,,
,,,,2,B,B,B,B,B,-,B,B,,
,,,,3,B,B,B,-,B,B,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,B,B,-,B,B,-,B,B,,
,,,,6,B,B,B,B,B,-,B,B,,
,,,,7,B,B,B,B,B,-,B,B,,
,,,,8,B,B,B,B,B,-,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
158,4,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,-,B,B,B,B,,
,,,,2,B,B,B,-,B,B,B,B,,
,,,,3,B,B,B,-,B,B,B,B,,
,,,,4,B,B,-,B,B,B,B,B,,
,,,,5,B,B,-,W,B,B,B,B,,
,,,,6,B,B,B,-,W,B,B,B,,
,,,,7,B,B,B,+,W,B,B,B,,
,,,,8,B,B,B,-,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
159,4,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,-,B,B,B,,
,,,,2,B,B,B,B,-,B,B,B,,
,,,,3,B,B,B,W,-,B,B,B,,
,,,,4,+,+,+,+,W,+,+,+,,
,,,,5,B,B,B,B,-,B,B,B,,
,,,,6,B,B,B,B,-,B,B,B,,
,,,,7,B,B,B,B,-,B,B,B,,
,,,,8,B,B,B,B,-,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
160,4,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,W,W,W,B,W,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,+,-,B,W,W,W,,
,,,,6,W,W,+,-,W,W,W,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
161,4,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,W,B,W,,
,,,,4,W,W,W,W,W,+,+,W,,
,,,,5,W,W,W,W,W,+,+,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
162,4,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,B,B,W,W,W,,
,,,,5,W,W,-,+,B,W,W,W,,
,,,,6,W,W,+,-,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
163,4,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,+,-,B,W,,
,,,,4,B,B,B,B,W,B,W,B,,
,,,,5,W,W,W,W,+,+,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
164,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,W,W,W,-,+,W,W,W,,
,,,,6,W,W,W,+,+,W,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
165,4,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,W,W,W,B,W,W,W,W,,
,,,,4,+,+,-,W,+,+,+,+,,
,,,,5,W,W,-,W,W,W,W,W,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
166,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,B,W,W,W,W,W,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,W,W,+,B,+,W,W,W,,
,,,,7,W,W,-,W,+,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
167,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,-,W,W,W,W,,
,,,,2,W,W,W,-,W,W,W,W,,
,,,,3,B,B,B,+,B,B,B,B,,
,,,,4,W,W,B,+,W,W,W,W,,
,,,,5,W,W,-,B,W,W,W,W,,
,,,,6,W,W,+,W,W,W,W,W,,
,,,,7,W,W,W,-,W,W,W,W,,
,,,,8,W,W,W,-,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
168,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,+,+,+,+,+,B,+,+,,
,,,,4,W,W,W,W,W,+,W,W,,
,,,,5,W,W,W,W,W,-,W,W,,
,,,,6,B,B,B,B,B,+,B,B,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
169,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,W,+,W,W,W,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,W,W,B,B,-,B,W,W,,
,,,,6,B,B,W,-,B,W,B,B,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
170,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,B,B,W,,
,,,,5,B,B,B,B,+,+,B,B,,
,,,,6,W,W,W,W,+,-,W,W,,
,,,,7,W,W,W,W,W,B,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
171,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,B,B,-,+,B,B,B,B,,
,,,,4,-,-,B,W,-,-,-,-,,
,,,,5,W,W,B,W,W,W,W,W,,
,,,,6,W,W,B,W,W,W,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
172,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,+,+,+,+,+,-,+,+,,
,,,,5,W,W,W,B,-,-,W,W,,
,,,,6,W,W,W,B,+,+,W,W,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
173,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,+,+,+,+,W,W,+,+,,
,,,,4,+,+,+,-,W,W,+,+,,
,,,,5,W,W,W,B,-,+,W,W,,
,,,,6,W,W,W,W,+,+,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
174,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,B,W,W,W,W,W,,
,,,,5,W,W,B,W,W,W,W,W,,
,,,,6,-,-,W,B,-,B,B,-,,
,,,,7,W,W,-,+,W,+,+,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
175,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,-,W,W,W,,
,,,,2,W,W,W,W,-,W,W,W,,
,,,,3,W,W,W,W,-,W,W,W,,
,,,,4,W,W,W,W,-,W,W,W,,
,,,,5,W,W,W,W,-,W,W,W,,
,,,,6,W,W,W,W,+,+,-,W,,
,,,,7,W,W,W,W,+,-,+,W,,
,,,,8,W,W,W,W,-,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
176,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,+,+,+,+,+,-,+,+,,
,,,,5,W,W,W,W,W,B,W,W,,
,,,,6,W,W,W,W,W,B,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
177,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,+,+,B,B,W,W,,
,,,,4,-,-,W,W,+,B,W,-,,
,,,,5,W,W,W,W,W,+,+,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
178,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,W,W,B,B,W,W,W,W,,
,,,,5,B,B,W,B,-,+,B,B,,
,,,,6,B,B,B,W,+,-,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
179,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,B,B,B,B,B,W,B,B,,
,,,,4,B,B,B,B,B,W,B,B,,
,,,,5,W,W,W,W,W,B,W,W,,
,,,,6,W,W,B,W,W,B,W,W,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
180,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,W,W,B,B,,
,,,,5,B,B,B,W,W,B,B,B,,
,,,,6,W,W,W,B,W,-,+,W,,
,,,,7,B,B,B,B,B,-,-,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
181,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,-,B,B,,
,,,,2,B,B,B,B,W,-,B,B,,
,,,,3,B,B,B,B,W,-,B,B,,
,,,,4,B,B,B,B,W,-,B,B,,
,,,,5,-,-,-,-,-,W,-,-,,
,,,,6,W,W,W,W,B,+,W,W,,
,,,,7,B,B,B,B,W,-,B,B,,
,,,,8,B,B,B,B,W,-,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
182,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
